v2ProductName,sessions,viewers,product_view_rate,product_desirability
Android BTTF Cosmos Shirt,7322,133,1.82,low desirability
YouTube Men's Short Sleeve Hero Tee Black,138676,2514,1.81,low desirability
Google Toddler 1/4 Zip Fleece Pewter,14077,255,1.81,low desirability
Google Women's Yoga Jacket Black,26033,467,1.79,low desirability
Ballpoint Pen Blue,15035,269,1.79,low desirability
Android Men's Engineer Short Sleeve Tee Charcoal,22546,404,1.79,low desirability
Android Lunch Kit,39891,713,1.79,low desirability
Google Pet Feeding Mat,21844,387,1.77,low desirability
Google Women's Short Sleeve Hero Tee Red Heather,37238,647,1.74,low desirability
Google Device Stand,40993,715,1.74,low desirability
24 oz YouTube Sergeant Stripe Bottle,85863,1495,1.74,low desirability
Google Long Sleeve Raglan Badge Henley Ocean Blue,24337,420,1.73,low desirability
Google Zipper-front Sports Bag,33436,575,1.72,low desirability
Compact Journal with Recycled Pages,12694,218,1.72,low desirability
Android Stretch Fit Hat Black,6212,106,1.71,low desirability
Plastic Sliding Flashlight,35700,603,1.69,low desirability
Google Tote Bag,46597,789,1.69,low desirability
Google 4400mAh Power Bank,24723,419,1.69,low desirability
Google 40 oz Insulated Monster Bottle,24614,417,1.69,low desirability
Ballpoint Stick Pen 4 Pack,10526,178,1.69,low desirability
Google Bluetooth Speaker-Power Bank,58136,979,1.68,low desirability
Android RFID Journal,24339,409,1.68,low desirability
Android BTTF Cosmos Graphic Tee,12355,207,1.68,low desirability
23 oz Wide Mouth Sport Bottle,38873,655,1.68,low desirability
Google Men's Short Sleeve Hero Tee Heather,56535,942,1.67,low desirability
YouTube 22 oz Infuser Bottle,1204,20,1.66,low desirability
Google Men's Performance Polo Grey/Black,50530,839,1.66,low desirability
Google Men's Bayside Graphic Tee,19066,316,1.66,low desirability
Basecamp Explorer Powerbank Flashlight,51078,850,1.66,low desirability
Google Infant Short Sleeve Tee Red,8441,139,1.65,low desirability
Google Men's Short Sleeve Hero Tee Charcoal,13416,220,1.64,low desirability
Google Bib White,26455,434,1.64,low desirability
Compact Eco Journal,3849,63,1.64,low desirability
Google Women's Hero V-Neck Tee White,15615,254,1.63,low desirability
Google Lunch Bag,73178,1192,1.63,low desirability
Rocket Flashlight,48585,785,1.62,low desirability
Google Youth Short Sleeve T-shirt Yellow,9517,154,1.62,low desirability
Android 22 oz Water Bottle Green,371,6,1.62,low desirability
YouTube Women's Fleece Hoodie Black,7248,117,1.61,low desirability
Google Heavyweight Long Sleeve Hero Tee Burgundy,38399,618,1.61,low desirability
Google Men's Short Sleeve Performance Badge Tee Navy,21315,338,1.59,low desirability
Android Glass Water Bottle with Black Sleeve,43792,697,1.59,low desirability
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,5367,85,1.58,low desirability
Suitcase Organizer Cubes,83332,1296,1.56,low desirability
Google 5-Panel Cap,29488,459,1.56,low desirability
Android Stretch Fit Hat,17797,277,1.56,low desirability
Ballpoint LED Light Pen,42484,655,1.54,low desirability
Android Women's Long Sleeve Blended Cardigan Grey,18387,283,1.54,low desirability
Android Toddler Short Sleeve T-shirt Aqua,13016,201,1.54,low desirability
Android Lifted Men's Short Sleeve Tee Blue,263,4,1.52,low desirability
22 oz Android Bottle,49732,757,1.52,low desirability
Google Executive Umbrella,7944,119,1.5,low desirability
Aluminum Handy Emergency Flashlight,35017,525,1.5,low desirability
Waze Women's Short Sleeve Tee,803,12,1.49,low desirability
Google Women's Quilted Insulated Vest Pewter,4828,72,1.49,low desirability
Google Women's 1/4 Zip Performance Pullover Black,17909,267,1.49,low desirability
Google Accent Insulated Stainless Steel Bottle,52805,787,1.49,low desirability
Google Four Color EDC Flashlight,405,6,1.48,low desirability
Google Infant Short Sleeve Tee Royal Blue,2865,42,1.47,low desirability
Google French Terry Cap,9606,141,1.47,low desirability
Android Men's Take Charge Short Sleeve Tee Purple,882,13,1.47,low desirability
Android Men's  Zip Hoodie,78658,1158,1.47,low desirability
Android Infant Short Sleeve Tee Pewter,8046,118,1.47,low desirability
Google Men's 100% Cotton Short Sleeve Hero Tee Red,86630,1268,1.46,low desirability
Google Infuser-Top Water Bottle,51196,748,1.46,low desirability
Google 5-Panel Snapback Cap,16924,247,1.46,low desirability
Android Men's Long & Lean Badge Tee Charcoal,3080,45,1.46,low desirability
Waze Pack of 9 Decal Set,10164,146,1.44,low desirability
Google Toddler Tee Fruit Games Strawberry,3755,54,1.44,low desirability
Google Men's Short Sleeve Badge Tee Charcoal,22977,331,1.44,low desirability
YouTube Trucker Hat,98246,1403,1.43,low desirability
Grip Kit Cable Organizer,23996,342,1.43,low desirability
Waze Mood Ninja Window Decal,15359,218,1.42,low desirability
Bottle Opener Clip,60615,854,1.41,low desirability
Android Women's Fleece Hoodie,15217,214,1.41,low desirability
Colored Pencil Set with Sharpener,285,4,1.4,low desirability
Google Women's Tank Top Light Gray,144,2,1.39,low desirability
Google Women's Lightweight Microfleece Jacket,42886,594,1.39,low desirability
Straw Beach Mat,31626,437,1.38,low desirability
Google Device Holder Sticky Pad,44565,614,1.38,low desirability
